user_id,age,device,income,num_conditions,premium,marketing_channels
1001,56,desktop,157490,5,2490.12377374755,instagram
1002,34,desktop,138171,3,1906.22844197478,paid_search_nb
1003,32,desktop,94274,2,1515.21717160606,paid_search_nb
1004,32,desktop,160480,4,2263.76332788325,tv
1005,33,desktop,141943,3,1624.41080613597,podcast
1006,46,desktop,169556,1,1349.71888892826,facebook
1007,55,desktop,157539,4,2237.25657973247,podcast
1008,20,desktop,80063,3,1354.79904378427,tv
1009,30,desktop,133151,2,1435.47929736875,paid_search_nb
1010,42,desktop,154022,4,2160.34362960981,podcast
1011,34,desktop,150797,3,2111.72275112599,facebook
1012,23,desktop,125406,2,1309.44742736302,paid_search_nb
1013,46,desktop,180219,2,1696.7093392362,podcast
1014,33,desktop,113558,3,1542.07467389289,facebook
1015,30,desktop,132164,2,1514.7828220104,instagram
1016,47,desktop,165372,4,2483.25125090956,paid_search_nb
1017,26,desktop,125051,2,2033.45249600394,paid_search_nb
1018,32,desktop,136300,4,1802.6439349067,paid_search_nb
1019,19,desktop,86475,2,1207.41797033255,podcast
1020,43,desktop,157267,4,2479.6408047774,paid_search_nb
1021,39,desktop,118541,2,1443.7642685162,instagram
1022,32,desktop,136960,4,1859.43617070192,facebook
1023,52,desktop,190045,5,2520.2820716712,paid_search_nb
1024,41,desktop,156789,2,1524.04346432183,podcast
1025,28,desktop,101000,2,1547.01739321036,instagram
1026,44,desktop,168469,2,1604.77159777911,paid_search_nb
1027,39,desktop,161008,5,2545.76888682427,podcast
1028,28,desktop,130212,2,914.126759763017,paid_search_nb
1029,48,desktop,144261,3,2115.53203476559,podcast
1030,29,desktop,133611,2,1581.49476315506,podcast
1031,35,desktop,140741,2,1166.41613918096,instagram
1032,53,desktop,177041,5,2620.03014926221,tv
1033,55,desktop,182548,3,2000.15007007808,paid_search_nb
1034,32,desktop,141746,6,2650.68041011805,paid_search_nb
1035,24,desktop,127236,1,1581.94606685272,podcast
1036,23,desktop,116242,3,1819.1968683549,podcast
1037,22,desktop,119244,2,1547.51042418102,facebook
1038,42,desktop,156240,5,2239.07499216874,paid_search_nb
1039,41,desktop,160399,3,2229.37611013091,podcast
1040,21,desktop,115597,4,1621.92323076659,podcast
1041,35,desktop,101126,4,2221.17427377819,podcast
1042,25,desktop,139523,1,1414.14884094909,paid_search_nb
1043,36,desktop,146877,5,2336.99690672877,podcast
1044,24,desktop,86888,3,1509.69883173024,paid_search_nb
1045,49,desktop,178967,2,1869.18696807758,facebook
1046,23,desktop,126756,1,1205.95969828696,podcast
1047,43,desktop,167445,4,2001.26836524628,podcast
1048,38,desktop,149461,4,1786.25409847659,paid_search_nb
1049,40,desktop,156929,2,1678.83735728125,instagram
1050,40,desktop,151364,2,1572.46111857857,paid_search_nb
1051,28,desktop,135343,2,1893.02696577801,facebook
1052,33,desktop,139824,2,1368.81837655174,podcast
1053,31,desktop,105307,4,1899.04144118614,facebook
1054,37,desktop,149114,3,1603.03539441317,paid_search_nb
1055,38,desktop,155894,3,1840.21506344907,facebook
1056,39,desktop,159490,2,1472.56311188208,facebook
1057,29,desktop,137989,1,1378.94577560697,podcast
1058,18,desktop,106932,4,1654.65288974339,podcast
1059,20,desktop,77541,2,1105.95017562851,paid_search_nb
1060,54,desktop,157151,4,2175.42524471147,paid_search_nb
1061,40,desktop,124731,3,1643.41617302185,podcast
1062,40,desktop,126949,4,1832.3213136955,paid_search_nb
1063,37,desktop,144510,3,1747.27708803381,facebook
1064,31,desktop,106855,3,1675.5869376332,paid_search_nb
1065,34,desktop,105086,3,1752.59408239068,podcast
1066,40,desktop,164835,4,2177.54455017512,podcast
1067,59,desktop,158059,4,2209.43858289431,facebook
1068,20,desktop,114389,2,1364.17012590545,paid_search_nb
1069,33,desktop,142469,2,1458.80242672193,tv
1070,33,desktop,145310,5,2035.4259751026,podcast
1071,52,desktop,185340,5,2128.11319033598,paid_search_nb
1072,47,desktop,164368,4,2234.98842514738,podcast
1073,56,desktop,150053,3,1892.70706020375,podcast
1074,46,desktop,167056,2,1865.03820646413,podcast
1075,34,desktop,141944,3,1654.05637059803,podcast
1076,28,desktop,131522,0,854.640281788147,podcast
1077,38,desktop,166544,3,1972.04878790445,podcast
1078,37,desktop,154558,6,2166.54608315136,podcast
1079,38,desktop,147470,2,1591.69052784227,podcast
1080,25,desktop,133848,1,1214.31831434091,podcast
1081,29,desktop,97704,0,1052.8203787887,podcast
1082,44,desktop,165691,3,1475.64628650655,facebook
1083,40,desktop,155060,3,1715.64524884632,paid_search_nb
1084,30,desktop,149948,4,1888.71729719296,tv
1085,36,desktop,119676,2,1358.82477803216,podcast
1086,36,desktop,108802,3,1722.82106588288,tv
1087,28,desktop,132513,2,1610.66966255485,paid_search_nb
1088,29,desktop,142635,0,924.128159378793,paid_search_nb
1089,34,desktop,146157,4,1252.7629485246,paid_search_nb
1090,33,desktop,112482,5,2085.982963007,podcast
1091,42,desktop,127078,3,1774.03705021312,instagram
1092,38,desktop,151073,4,1887.73031205944,instagram
1093,19,desktop,87005,1,1028.81458187996,podcast
1094,24,desktop,96445,0,970.784708531458,paid_search_nb
1095,37,desktop,117510,0,1043.64472193413,podcast
1096,57,desktop,187153,2,2089.14476203671,tv
1097,40,desktop,155093,1,1405.5957925913,facebook
1098,50,desktop,142696,4,2353.17647435735,facebook
1099,48,desktop,191037,2,1757.42820415019,podcast
1100,18,desktop,121045,2,1565.1933398443,instagram
1101,25,desktop,87168,1,1563.28474956694,podcast
